[2023-03-29 09:29:47,737] Connection from ('127.0.0.1', 33974) to page / with response code 404
[2023-03-29 09:29:55,443] Connection from ('127.0.0.1', 33976) to page /index.html with response code 200
[2023-03-29 09:29:55,463] Connection from ('127.0.0.1', 33986) to page /styles/variables.css with response code 200
[2023-03-29 09:29:55,463] Connection from ('127.0.0.1', 60294) to page /styles/style.css with response code 200
[2023-03-29 09:29:55,511] Connection from ('127.0.0.1', 60296) to page /js/script.js with response code 404
[2023-03-29 09:29:55,511] Connection from ('127.0.0.1', 60302) to page /resources/images/article-image-1.jpg with response code 200
[2023-03-29 09:29:55,511] Connection from ('127.0.0.1', 60314) to page /resources/images/article-image-2.jpg with response code 200
[2023-03-29 09:29:56,537] Connection from ('127.0.0.1', 60320) to page /resources/images/article-image-3.jpg with response code 200
[2023-03-29 09:34:44,494] Connection from ('127.0.0.1', 44212) to page / with response code 404
[2023-03-29 09:34:49,768] Connection from ('127.0.0.1', 44220) to page /index.html with response code 200
[2023-03-29 09:34:49,782] Connection from ('127.0.0.1', 44222) to page /styles/variables.css with response code 200
[2023-03-29 09:34:49,782] Connection from ('127.0.0.1', 45634) to page /styles/style.css with response code 200
[2023-03-29 09:34:49,786] Connection from ('127.0.0.1', 45650) to page /js/script.js with response code 404
[2023-03-29 09:34:49,833] Connection from ('127.0.0.1', 45662) to page /resources/images/article-image-1.jpg with response code 200
[2023-03-29 09:34:49,833] Connection from ('127.0.0.1', 45676) to page /resources/images/article-image-2.jpg with response code 200
[2023-03-29 09:34:49,833] Connection from ('127.0.0.1', 45682) to page /resources/images/article-image-3.jpg with response code 200
[2023-03-29 09:35:48,103] Connection from ('127.0.0.1', 52122) to page /index.html with response code 200
[2023-03-29 09:35:48,111] Connection from ('127.0.0.1', 52136) to page /styles/variables.css with response code 200
[2023-03-29 09:35:48,112] Connection from ('127.0.0.1', 52146) to page /styles/style.css with response code 200
[2023-03-29 09:35:48,117] Connection from ('127.0.0.1', 52156) to page /js/script.js with response code 404
[2023-03-29 09:35:48,117] Connection from ('127.0.0.1', 52162) to page /resources/images/article-image-1.jpg with response code 200
[2023-03-29 09:35:48,150] Connection from ('127.0.0.1', 52172) to page /resources/images/article-image-2.jpg with response code 200
[2023-03-29 09:35:48,150] Connection from ('127.0.0.1', 52182) to page /resources/images/article-image-3.jpg with response code 200
[2023-03-29 09:35:49,221] Connection from ('127.0.0.1', 52196) to page /index.html with response code 200
[2023-03-29 09:35:49,229] Connection from ('127.0.0.1', 52202) to page /styles/variables.css with response code 200
[2023-03-29 09:35:49,229] Connection from ('127.0.0.1', 52208) to page /styles/style.css with response code 200
[2023-03-29 09:35:49,234] Connection from ('127.0.0.1', 52212) to page /js/script.js with response code 404
[2023-03-29 09:35:49,234] Connection from ('127.0.0.1', 52226) to page /resources/images/article-image-1.jpg with response code 200
[2023-03-29 09:35:49,263] Connection from ('127.0.0.1', 52234) to page /resources/images/article-image-2.jpg with response code 200
[2023-03-29 09:35:49,264] Connection from ('127.0.0.1', 52242) to page /resources/images/article-image-3.jpg with response code 200
[2023-03-29 09:35:50,316] Connection from ('127.0.0.1', 52246) to page /video.html with response code 200
[2023-03-29 09:35:50,335] Connection from ('127.0.0.1', 52258) to page /styles/style.css with response code 200
